transaction_id,customer_id,customer_city,merchant_id,merchant_category,transaction_datetime,payment_method,device_type,amount,currency,account_balance,credit_score,geo_match,velocity_score,cashback_used,transaction_status,risk_level,is_fraud
TXN000071,CUST0750,Bengaluru,MER257,Shopping,2026-10-30 08:46:00,Credit Card,iPhone,9929.34,INR,457110.43,793,No,96,No,Success,Medium,0
TXN000072,CUST0463,Hyderabad,MER286,Shopping,2026-02-02 21:04:00,Wallet,Android,72217.74,INR,132964.83,426,No,48,No,Pending,Medium,1
TXN000073,CUST0479,Hyderabad,MER013,Healthcare,2026-11-18 22:33:00,NetBanking,iPhone,61684.85,INR,457712.7,526,Yes,82,No,Pending,Medium,0
TXN000074,CUST0093,Pune,MER156,Bills,2026-02-12 06:40:00,UPI,Android,48699.97,INR,443742.39,438,No,59,No,Pending,High,0
TXN000075,CUST0317,Hyderabad,MER051,Bills,2026-08-13 03:39:00,Wallet,iPhone,52242.37,INR,17325.43,679,Yes,57,No,Success,Medium,0
TXN000076,CUST1116,Delhi,MER032,Bills,2026-04-11 10:41:00,Credit Card,Android,7469.61,INR,474556.38,765,Yes,85,Yes,Pending,High,0
TXN000077,CUST0684,Mumbai,MER065,Healthcare,2026-03-16 17:06:00,UPI,Web,44794.0,INR,104371.53,521,Yes,43,Yes,Pending,Low,0
TXN000078,CUST0267,Bengaluru,MER129,Travel,2026-02-10 00:33:00,UPI,Android,20810.07,INR,8415.3,543,No,3,Yes,Failed,Low,0
TXN000079,CUST0233,Pune,MER244,Bills,2026-10-11 06:24:00,Debit Card,Web,9524.36,INR,297239.34,762,Yes,79,Yes,Pending,High,0
TXN000080,CUST0064,Pune,MER246,Bills,2026-06-05 04:50:00,UPI,iPhone,39118.41,INR,356488.26,754,Yes,11,No,Pending,Low,0
TXN000081,CUST1199,Bengaluru,MER167,Bills,2026-08-06 12:05:00,NetBanking,iPhone,4944.85,INR,227403.99,740,Yes,90,Yes,Pending,High,0
TXN000082,CUST0881,Hyderabad,MER117,Bills,2026-05-04 09:37:00,Wallet,iPhone,65830.41,INR,208578.84,397,No,55,No,Pending,Medium,0
TXN000083,CUST0972,Pune,MER047,Food,2026-02-03 22:39:00,Wallet,Android,28085.09,INR,372549.9,681,Yes,72,Yes,Pending,High,0
TXN000084,CUST0842,Delhi,MER217,Entertainment,2026-01-19 17:32:00,Debit Card,Web,42135.02,INR,156912.0,406,Yes,20,No,Success,Low,0
TXN000085,CUST0236,Delhi,MER294,Travel,2026-10-21 21:36:00,Wallet,Web,26271.55,INR,487298.75,870,Yes,78,No,Success,Low,0
TXN000086,CUST0696,Delhi,MER004,Travel,2026-11-13 16:58:00,Credit Card,Web,20509.81,INR,329014.97,371,Yes,95,Yes,Success,High,0
TXN000087,CUST0930,Delhi,MER081,Shopping,2026-04-24 11:07:00,Debit Card,Web,39795.59,INR,298515.66,353,Yes,21,Yes,Pending,Low,0
TXN000088,CUST0995,Bengaluru,MER227,Bills,2026-04-10 10:58:00,Credit Card,Web,20422.27,INR,57794.94,740,Yes,37,No,Pending,High,0
TXN000089,CUST0113,Pune,MER105,Shopping,2026-12-11 04:22:00,Credit Card,Android,23145.29,INR,382316.29,596,No,16,Yes,Failed,High,0
TXN000090,CUST1091,Mumbai,MER257,Healthcare,2026-10-31 09:57:00,Debit Card,Android,32310.51,INR,199138.52,343,No,3,No,Success,Medium,0
TXN000091,CUST0856,Delhi,MER059,Bills,2026-01-08 14:14:00,Debit Card,Android,43190.42,INR,400859.76,771,No,12,No,Success,Low,0
TXN000092,CUST0162,Hyderabad,MER159,Entertainment,2026-05-04 14:42:00,Credit Card,iPhone,32687.03,INR,389779.82,378,Yes,68,Yes,Failed,Medium,0
TXN000093,CUST0484,Pune,MER075,Shopping,2026-03-13 19:47:00,Credit Card,Web,54558.89,INR,77282.02,377,Yes,99,No,Failed,High,0
TXN000094,CUST1157,Bengaluru,MER166,Entertainment,2026-04-26 02:27:00,Credit Card,iPhone,56995.59,INR,35074.84,752,No,36,Yes,Failed,High,0
TXN000095,CUST0078,Pune,MER189,Shopping,2026-01-28 22:29:00,UPI,Web,5582.82,INR,297445.83,693,No,75,Yes,Failed,High,0
TXN000096,CUST0975,Bengaluru,MER078,Food,2026-06-14 00:43:00,UPI,iPhone,48894.77,INR,491210.4,386,Yes,6,Yes,Pending,Medium,0
TXN000097,CUST0746,Delhi,MER145,Bills,2026-05-29 19:52:00,Debit Card,Web,74324.13,INR,299345.05,642,Yes,43,Yes,Pending,High,0
TXN000098,CUST0308,Delhi,MER042,Healthcare,2026-08-30 14:43:00,Credit Card,iPhone,29004.58,INR,155805.64,701,Yes,77,Yes,Failed,High,0
TXN000099,CUST0262,Bengaluru,MER048,Entertainment,2026-09-02 02:32:00,Wallet,Web,28263.41,INR,181552.22,671,No,24,Yes,Failed,Medium,0
TXN000100,CUST0318,Pune,MER152,Food,2026-07-04 20:15:00,NetBanking,Web,14416.55,INR,441957.4,338,No,99,Yes,Pending,Medium,0
TXN000101,CUST0340,Hyderabad,MER023,Bills,2026-05-13 15:17:00,Credit Card,iPhone,11585.87,INR,305687.12,759,Yes,69,Yes,Failed,Medium,0
TXN000102,CUST1169,Hyderabad,MER237,Shopping,2026-10-11 07:21:00,Wallet,Web,67800.0,INR,264202.43,465,Yes,78,Yes,Failed,Low,1
TXN000103,CUST1136,Pune,MER265,Food,2026-04-14 18:55:00,UPI,Android,48095.6,INR,137122.86,825,Yes,56,Yes,Success,Medium,0
TXN000104,CUST0812,Bengaluru,MER192,Travel,2026-05-21 14:22:00,UPI,iPhone,66349.54,INR,113044.84,626,Yes,92,No,Success,Low,0
TXN000105,CUST0968,Mumbai,MER241,Bills,2026-08-13 00:59:00,UPI,Android,2891.97,INR,10482.94,520,Yes,71,No,Success,Medium,0
TXN000106,CUST0489,Hyderabad,MER235,Food,2026-02-10 08:41:00,Wallet,Web,17838.26,INR,268490.84,827,Yes,92,Yes,Failed,Medium,0
TXN000107,CUST1169,Hyderabad,MER096,Entertainment,2026-09-01 06:57:00,UPI,Web,137.29,INR,487352.59,369,Yes,50,No,Success,High,0
TXN000108,CUST0034,Delhi,MER035,Shopping,2026-03-29 18:59:00,UPI,Web,29028.36,INR,367858.31,640,Yes,6,No,Pending,Medium,0
TXN000109,CUST0952,Hyderabad,MER094,Travel,2026-01-23 23:22:00,Wallet,Android,61016.89,INR,147427.84,344,Yes,6,No,Failed,High,1
TXN000110,CUST0970,Delhi,MER019,Entertainment,2026-03-11 13:53:00,Debit Card,iPhone,29878.84,INR,431207.13,348,No,35,Yes,Failed,Medium,0
TXN000111,CUST0792,Delhi,MER096,Bills,2026-09-09 23:23:00,Wallet,iPhone,66713.7,INR,462230.92,831,No,11,No,Success,Medium,0
TXN000112,CUST1118,Delhi,MER165,Food,2026-01-30 03:39:00,Debit Card,Web,45191.95,INR,148524.33,756,No,22,No,Failed,Medium,0
TXN000113,CUST0723,Bengaluru,MER223,Shopping,2026-08-21 19:46:00,UPI,Android,3195.79,INR,335920.76,715,No,66,Yes,Success,Low,0
TXN000114,CUST0259,Pune,MER121,Entertainment,2026-05-14 09:01:00,Debit Card,iPhone,63653.22,INR,474784.09,333,Yes,87,No,Failed,Medium,0
TXN000115,CUST0282,Bengaluru,MER188,Bills,2026-04-25 11:08:00,Debit Card,Android,33306.57,INR,480299.51,326,Yes,64,No,Pending,Low,0
TXN000116,CUST0914,Mumbai,MER147,Entertainment,2026-11-30 16:18:00,Wallet,Android,19648.02,INR,62196.07,375,No,23,No,Success,High,0
TXN000117,CUST0133,Bengaluru,MER278,Shopping,2026-11-21 12:34:00,Debit Card,Android,72567.74,INR,356192.74,478,No,66,Yes,Success,Low,0
TXN000118,CUST1012,Pune,MER185,Healthcare,2026-07-28 08:38:00,Debit Card,iPhone,59409.08,INR,402027.2,864,Yes,79,Yes,Success,Medium,1
TXN000119,CUST0981,Bengaluru,MER211,Bills,2026-10-27 18:26:00,NetBanking,Android,29874.04,INR,63538.06,624,Yes,58,No,Pending,High,0
TXN000120,CUST1130,Bengaluru,MER094,Travel,2026-06-07 12:16:00,NetBanking,Android,25851.72,INR,415864.01,830,Yes,39,Yes,Success,Medium,0
TXN000121,CUST1063,Delhi,MER041,Shopping,2026-03-13 11:18:00,NetBanking,iPhone,70106.64,INR,63459.98,610,Yes,65,Yes,Pending,High,1
TXN000122,CUST0692,Bengaluru,MER022,Food,2026-01-30 13:44:00,UPI,Web,11581.49,INR,385740.16,571,Yes,99,No,Pending,High,0
TXN000123,CUST1118,Delhi,MER155,Bills,2026-03-31 03:46:00,Wallet,iPhone,2290.84,INR,227318.52,361,Yes,57,No,Failed,Medium,0
TXN000124,CUST0641,Delhi,MER177,Bills,2026-02-17 14:39:00,Debit Card,Web,15317.65,INR,281263.96,626,Yes,60,Yes,Failed,Medium,0
TXN000125,CUST0595,Hyderabad,MER215,Travel,2026-11-12 01:10:00,Credit Card,iPhone,18608.96,INR,466942.02,620,Yes,98,Yes,Failed,High,0
TXN000126,CUST1019,Pune,MER047,Bills,2026-07-04 00:38:00,Wallet,Android,35021.8,INR,108357.07,661,Yes,7,No,Failed,High,0
TXN000127,CUST1100,Pune,MER056,Bills,2026-02-18 18:20:00,Debit Card,Web,66177.81,INR,183523.04,712,No,6,No,Success,High,0
TXN000128,CUST0592,Pune,MER198,Healthcare,2026-06-13 23:15:00,NetBanking,iPhone,42145.03,INR,412830.35,421,Yes,13,No,Failed,Medium,0
TXN000129,CUST0296,Mumbai,MER261,Bills,2026-07-02 01:44:00,UPI,Android,41846.23,INR,20418.07,641,No,67,No,Success,High,0
TXN000130,CUST0653,Mumbai,MER202,Healthcare,2026-09-27 04:16:00,Debit Card,Web,66987.01,INR,168850.35,821,No,91,No,Failed,Low,1
TXN000131,CUST0854,Bengaluru,MER158,Entertainment,2026-11-14 12:31:00,UPI,Web,27639.47,INR,237820.52,892,Yes,93,Yes,Pending,Medium,0
TXN000132,CUST0779,Mumbai,MER125,Food,2026-07-28 11:11:00,UPI,Android,12804.99,INR,10449.75,621,No,20,No,Pending,Low,0
TXN000133,CUST0966,Pune,MER071,Healthcare,2026-03-17 11:46:00,NetBanking,iPhone,30790.1,INR,499063.31,789,No,41,Yes,Failed,High,0
TXN000134,CUST0542,Bengaluru,MER248,Travel,2026-03-31 18:07:00,Debit Card,Web,25687.68,INR,149951.08,604,No,91,Yes,Pending,High,0
TXN000135,CUST1148,Delhi,MER148,Food,2026-07-28 19:07:00,NetBanking,iPhone,36685.45,INR,447984.47,704,No,99,Yes,Failed,Low,0
TXN000136,CUST0710,Hyderabad,MER132,Entertainment,2026-06-24 10:15:00,Credit Card,Android,21586.52,INR,414147.9,577,No,18,Yes,Pending,High,0
TXN000137,CUST1088,Mumbai,MER120,Food,2026-02-06 11:32:00,Wallet,iPhone,44020.55,INR,358961.67,402,Yes,1,Yes,Failed,High,0
TXN000138,CUST0409,Delhi,MER165,Shopping,2026-08-24 03:56:00,UPI,Android,70128.71,INR,326497.07,537,Yes,23,No,Success,Low,0
TXN000139,CUST0593,Pune,MER005,Shopping,2026-07-26 18:55:00,NetBanking,Android,74787.94,INR,464298.97,643,No,59,No,Success,High,0
TXN000140,CUST0231,Delhi,MER084,Entertainment,2026-06-17 02:03:00,Debit Card,Web,35112.2,INR,93913.34,645,No,73,Yes,Success,High,0
TXN000141,CUST1056,Delhi,MER045,Bills,2026-09-01 16:02:00,UPI,Android,64213.86,INR,490860.91,788,No,32,Yes,Failed,Medium,0
TXN000142,CUST0676,Delhi,MER299,Entertainment,2026-07-28 13:52:00,UPI,iPhone,17679.38,INR,327188.0,541,Yes,86,Yes,Failed,Medium,0
TXN000143,CUST0637,Pune,MER152,Shopping,2026-08-12 18:40:00,Credit Card,Android,11995.57,INR,478722.91,789,Yes,59,No,Failed,High,0
TXN000144,CUST1101,Mumbai,MER127,Entertainment,2026-10-02 19:00:00,NetBanking,Android,41201.6,INR,263227.82,840,No,10,Yes,Success,High,0
TXN000145,CUST1100,Mumbai,MER085,Shopping,2026-11-08 02:36:00,NetBanking,iPhone,67718.55,INR,59003.77,510,No,12,No,Success,Medium,1
TXN000146,CUST1155,Pune,MER287,Bills,2026-09-02 22:44:00,Debit Card,Web,9913.19,INR,11863.46,560,Yes,96,Yes,Pending,Low,0
TXN000147,CUST0131,Bengaluru,MER031,Food,2026-12-06 23:27:00,Wallet,Android,3415.83,INR,144258.26,484,Yes,99,No,Failed,Medium,0
TXN000148,CUST0774,Hyderabad,MER042,Entertainment,2026-08-29 22:49:00,NetBanking,Android,33651.31,INR,327113.52,656,Yes,23,No,Pending,Low,0
TXN000149,CUST0008,Pune,MER153,Bills,2026-09-03 05:07:00,NetBanking,iPhone,54594.8,INR,266434.87,535,Yes,59,No,Success,Medium,1
TXN000150,CUST0232,Pune,MER215,Healthcare,2026-10-06 21:52:00,UPI,Android,14152.26,INR,103834.73,403,Yes,58,Yes,Success,High,0
TXN000151,CUST1106,Mumbai,MER029,Travel,2026-07-03 11:06:00,Debit Card,Android,3336.87,INR,408077.34,889,No,74,No,Success,Medium,0
TXN000152,CUST0847,Delhi,MER141,Food,2026-07-22 16:40:00,NetBanking,Web,65721.85,INR,455877.26,737,No,7,No,Pending,High,0
TXN000153,CUST0853,Hyderabad,MER077,Shopping,2026-05-18 01:33:00,Credit Card,Web,28598.97,INR,237285.89,530,No,91,Yes,Failed,Low,0
TXN000154,CUST1142,Bengaluru,MER069,Bills,2026-03-30 10:07:00,Debit Card,Android,42187.7,INR,165801.23,380,No,48,Yes,Pending,High,0
TXN000155,CUST0773,Bengaluru,MER021,Food,2026-03-10 12:11:00,NetBanking,Web,62208.88,INR,336053.81,522,No,27,No,Failed,Low,1
TXN000156,CUST0241,Hyderabad,MER125,Entertainment,2026-08-09 01:20:00,Credit Card,iPhone,15901.35,INR,457648.1,865,No,100,No,Failed,Medium,0
TXN000157,CUST0536,Delhi,MER263,Bills,2026-06-19 16:00:00,UPI,Web,40033.09,INR,235275.72,627,Yes,48,No,Failed,Low,0
TXN000158,CUST0299,Pune,MER134,Healthcare,2026-12-07 08:02:00,NetBanking,Web,42198.1,INR,360285.96,602,Yes,26,No,Success,Medium,0
TXN000159,CUST1128,Delhi,MER132,Bills,2026-09-21 10:32:00,Wallet,iPhone,42742.82,INR,84948.59,660,Yes,18,No,Success,High,0
TXN000160,CUST0153,Pune,MER004,Bills,2026-02-20 01:25:00,Credit Card,Android,74274.46,INR,353877.61,309,Yes,65,No,Failed,Low,0
TXN000161,CUST0990,Hyderabad,MER009,Food,2026-07-13 18:32:00,NetBanking,iPhone,46345.29,INR,6913.63,842,No,69,No,Success,High,0
TXN000162,CUST0368,Pune,MER050,Healthcare,2026-02-24 05:05:00,Credit Card,Android,60990.53,INR,310270.64,558,No,35,No,Success,Medium,0
TXN000163,CUST0463,Delhi,MER042,Entertainment,2026-11-09 11:14:00,UPI,Android,71948.15,INR,203233.87,686,No,8,Yes,Pending,Low,0
TXN000164,CUST0679,Bengaluru,MER049,Healthcare,2026-12-01 15:40:00,UPI,Android,6219.81,INR,106497.11,880,No,35,Yes,Success,High,0
TXN000165,CUST0068,Mumbai,MER162,Food,2026-03-17 10:10:00,NetBanking,Android,69420.35,INR,376374.98,707,Yes,39,Yes,Pending,Low,0
TXN000166,CUST1108,Delhi,MER197,Entertainment,2026-02-20 22:54:00,UPI,Web,42510.86,INR,372982.82,654,Yes,13,No,Success,Low,0
TXN000167,CUST0813,Delhi,MER016,Entertainment,2026-04-10 12:22:00,Wallet,iPhone,25557.64,INR,114841.06,866,No,56,Yes,Pending,High,0
TXN000168,CUST0605,Mumbai,MER038,Food,2026-04-08 13:34:00,Credit Card,iPhone,49557.18,INR,356126.9,457,No,41,No,Success,Low,0
TXN000169,CUST0738,Delhi,MER053,Travel,2026-02-01 18:48:00,Credit Card,iPhone,409.54,INR,224972.99,868,No,14,Yes,Success,Medium,0
TXN000170,CUST0665,Hyderabad,MER007,Shopping,2026-05-31 15:55:00,Wallet,Android,41575.4,INR,362697.08,872,Yes,74,Yes,Pending,Medium,0
TXN000171,CUST0550,Hyderabad,MER075,Food,2026-03-02 21:04:00,Wallet,iPhone,12729.24,INR,211130.07,795,Yes,47,No,Success,High,0
TXN000172,CUST0401,Hyderabad,MER055,Travel,2026-04-21 22:08:00,UPI,iPhone,46885.03,INR,166776.39,689,No,57,No,Failed,High,0
